	security	class_code	mean	std	count	prct	up	down
0	AFKS	TQBR	12.161100000000001	0.26539819140303167	20	0.021823534992971988	12.691896382806064	11.630303617193938
1	AFLT	TQBR	26.256	1.531955750357247	20	0.05834688263091282	29.319911500714493	23.192088499285507
2	AKRN	TQBR	18058.4	97.49623474511216	20	0.0053989409219594294	18253.392469490227	17863.407530509776
3	ALRS	TQBR	59.868500000000004	1.2519638257763785	20	0.020911895667611154	62.37242765155276	57.36457234844725
4	BANEP	TQBR	709.35	23.92977665015518	20	0.033734794741883664	757.2095533003104	661.4904466996896
5	BELU	TQBR	2829.8	53.50120510202029	20	0.018906355608884123	2936.802410204041	2722.7975897959595
6	BSPB	TQBR	100.97200000000001	0.8985871951950049	20	0.00889937007482277	102.76917439039002	99.17482560961
7	CBOM	TQBR	6.934749999999999	0.22203529235829111	20	0.0320177789189648	7.378820584716582	6.490679415283417
8	CHH3	SPBFUT	87280.5	1707.1556676777284	20	0.019559416681592435	90694.81133535545	83866.18866464455
9	CHMF	TQBR	891.2700000000001	14.911426208748335	20	0.016730537557360096	921.0928524174967	861.4471475825035
10	CRH3	SPBFUT	10.19665	0.14350803205102458	20	0.01407403726233857	10.48366606410205	9.90963393589795
11	DSKY	TQBR	68.214	1.1375523122731084	20	0.016676229399728917	70.48910462454621	65.93889537545378
12	EDH3	SPBFUT	1.0539	0.014810025054173816	20	0.014052590429996977	1.0835200501083477	1.0242799498916524
13	EuH3	SPBFUT	73772.3	1053.8763085316061	20	0.014285528694802874	75880.05261706322	71664.54738293678
14	FEES	TQBR	0.085454	0.0010172015274115657	20	0.011903498109059444	0.08748840305482314	0.08341959694517687
15	FESH	TQBR	34.1155	0.4651369351288408	20	0.013634181973848861	35.045773870257676	33.18522612974232
16	FLOT	TQBR	39.5115	1.907150740599289	20	0.048268244450331906	43.325801481198575	35.69719851880142
17	GAZP	TQBR	162.775	1.6686221861164363	20	0.010251096213278675	166.11224437223288	159.43775562776713
18	GKH3	SPBFUT	15537.05	166.08668472248263	20	0.01068971810752251	15869.223369444964	15204.876630555034
19	GMKN	TQBR	15306.8	158.44427876601986	20	0.010351234664725473	15623.68855753204	14989.91144246796
20	GZH3	SPBFUT	16504.55	181.3488859107024	20	0.01098781159805644	16867.247771821403	16141.852228178595
21	HYDR	TQBR	0.760755	0.006782289242462419	20	0.008915208237162318	0.7743195784849248	0.7471904215150751
22	INGR	TQBR	1600.0	34.458212679311075	20	0.02153638292456942	1668.916425358622	1531.083574641378
23	IRAO	TQBR	3.4277500000000005	0.09504631834836592	20	0.02772848613474317	3.6178426366967322	3.237657363303269
24	IRGZ	TQBR	14.132	0.09870743586344893	20	0.00698467562011385	14.329414871726897	13.934585128273103
25	ISKJ	TQBR	65.921	3.3866392283734488	20	0.0513742089527381	72.6942784567469	59.14772154325311
26	KMAZ	TQBR	85.885	1.5591073694501194	20	0.01815343039471525	89.00321473890024	82.76678526109977
27	LENT	TQBR	702.525	13.583537830771526	20	0.019335308822848334	729.6920756615431	675.3579243384569
28	LKH3	SPBFUT	41064.25	516.6000056034403	20	0.012580285908142492	42097.45001120688	40031.04998879312
29	LKOH	TQBR	4054.55	50.80455325636603	20	0.012530256935138553	4156.159106512732	3952.940893487268
30	LSRG	TQBR	464.73	6.854357046894739	20	0.01474911679231971	478.4387140937895	451.02128590621055
31	MAGN	TQBR	33.42925	0.8007632461069802	20	0.023953969835009165	35.03077649221397	31.827723507786043
32	MGNT	TQBR	4478.2	127.47356795161878	20	0.02846535839212603	4733.1471359032375	4223.252864096762
33	MNH3	SPBFUT	4546.8125	133.52513808268463	16	0.029366757059519088	4813.86277616537	4279.76222383463
34	MOEX	TQBR	97.791	3.4506214543256597	20	0.035285675106356	104.69224290865131	90.88975709134868
35	MTLR	TQBR	105.64000000000001	2.3483118236411125	20	0.022229381140108976	110.33662364728224	100.94337635271779
36	MTLRP	TQBR	144.9975	5.619057679942983	20	0.038752790082194406	156.23561535988597	133.75938464011404
37	MTSS	TQBR	236.82750000000001	3.596762981816899	20	0.015187269138157091	244.0210259636338	229.63397403636623
38	MVID	TQBR	169.775	5.888693448152623	20	0.03468528021294433	181.55238689630525	157.99761310369476
39	MXH3	SPBFUT	219411.25	2264.013015468443	20	0.010318582185136099	223939.2760309369	214883.2239690631
40	NLMK	TQBR	112.899	1.9656146755230504	20	0.017410381628916557	116.8302293510461	108.9677706489539
41	NMH3	SPBFUT	11335.2	132.1576411156887	20	0.011659048019945717	11599.515282231378	11070.884717768624
42	NVTK	TQBR	1047.45	15.514322754355446	20	0.014811516305652245	1078.478645508711	1016.4213544912892
43	OGKB	TQBR	0.570745	0.01905248913148263	20	0.03338178894512021	0.6088499782629652	0.5326400217370347
44	OZH3	SPBFUT	14993.6	731.5510846644173	20	0.04879088975725758	16456.702169328833	13530.497830671166
45	PHOR	TQBR	6389.35	74.89169372816785	20	0.011721332174347602	6539.133387456336	6239.566612543665
46	PIKK	TQBR	604.725	4.718482695461366	20	0.007802691629189079	614.1619653909228	595.2880346090773
47	PLZL	TQBR	7952.575	181.14295568621247	20	0.02277789969742033	8314.860911372425	7590.2890886275745
48	POH3	SPBFUT	3940.65	148.9879101417998	20	0.03780795303866109	4238.6258202836	3642.6741797164004
49	POSI	TQBR	1302.81	48.78944989495835	20	0.037449397759426434	1400.3888997899166	1205.2311002100832
50	PZH3	SPBFUT	80444.4	1804.3580984295809	20	0.02242987825665405	84053.11619685916	76835.68380314083
51	RASP	TQBR	231.775	7.559335462299511	20	0.03261497341084893	246.89367092459904	216.65632907540098
52	RIH3	SPBFUT	99093.5	2272.1500946529877	20	0.022929355554632623	103637.80018930597	94549.19981069403
53	RMH3	SPBFUT	992.7	21.220273325289625	20	0.0213763204646818	1035.1405466505794	950.2594533494208
54	RNFT	TQBR	86.56	3.745509592200123	20	0.04327067458641547	94.05101918440025	79.06898081559976
55	RNH3	SPBFUT	34839.1	472.6572030329667	20	0.013566860310196495	35784.41440606593	33893.785593934066
56	ROSN	TQBR	353.5525	11.024344771077308	20	0.031181634328925147	375.6011895421546	331.5038104578454
57	RUAL	TQBR	40.716	0.4276330202404871	20	0.010502824939593454	41.57126604048098	39.860733959519024
58	SBER	TQBR	145.6845	5.326790753994588	20	0.036563881222742206	156.3380815079892	135.03091849201084
59	SBERP	TQBR	144.5895	5.397299007739658	20	0.03732842984960636	155.3840980154793	133.79490198452066
60	SGZH	TQBR	4.7095	0.09404953901786921	20	0.019970174969289566	4.897599078035738	4.521400921964262
61	SIBN	TQBR	459.82250000000005	19.68129271401492	20	0.04280193490752392	499.1850854280299	420.4599145719702
62	SMLT	TQBR	2449.55	51.35990141817051	20	0.02096707616426303	2552.269802836341	2346.8301971636592
63	SNGS	TQBR	21.83825	0.27503719844107694	20	0.012594287474549333	22.38832439688215	21.288175603117846
64	SNGSP	TQBR	26.2395	0.4030929760842027	20	0.01536206772553603	27.045685952168405	25.433314047831594
65	SNH3	SPBFUT	22160.65	276.81616073145943	20	0.012491337606589131	22714.28232146292	21607.017678537082
66	SPBE	TQBR	128.255	19.129626375419832	20	0.14915306518591737	166.51425275083966	89.99574724916033
67	SPH3	SPBFUT	14583.65	527.5183483962779	20	0.036171901300173684	15638.686696792556	13528.613303207443
68	SRH3	SPBFUT	14785.2	516.4734262283007	20	0.03493178490844227	15818.146852456603	13752.253147543399
69	SiH3	SPBFUT	70175.75	1327.6189559151576	20	0.018918486171008612	72830.98791183032	67520.51208816968
70	TATN	TQBR	345.09499999999997	5.540138227422432	20	0.01605395102050865	356.17527645484483	334.0147235451551
71	TATNP	TQBR	339.065	3.697264280234088	20	0.010904293513733615	346.4595285604682	331.6704714395318
72	TRMK	TQBR	89.326	5.272471107454965	20	0.05902504430350587	99.87094221490992	78.78105778509007
73	TRNFP	TQBR	87315.0	1037.7227091341085	20	0.011884816001077804	89390.44541826822	85239.55458173178
74	UPRO	TQBR	1.3740999999999999	0.037011946862145914	20	0.026935409986278958	1.4481238937242917	1.300076106275708
75	VBH3	SPBFUT	1687.45	26.077768309424066	20	0.015453950226332077	1739.6055366188482	1635.294463381152
76	VTBR	TQBR	0.0166515	0.00024152530650888373	20	0.014504717683625124	0.017134550613017767	0.016168449386982232
77	YNH3	SPBFUT	18999.65	429.15894184838163	20	0.022587728818603586	19857.967883696765	18141.332116303238
