,price,volume,std,sec,min_start,max_start,end,sl,mid,down,prev_end,next_sl,implied_prob
0,92.73,0.0,0.0766738713716958,BRU2,,,,,,,,74.18400000000001,
1,93.70040404040404,149577.0,0.0766738713716958,BRU2,92.8066738713717,93.02112121212122,93.60336363636364,74.18400000000001,92.73,0,,93.50632323232323,0.9644959480893528
2,94.89474747474748,191777.0,0.0766738713716958,BRU2,93.77707791177573,94.05870707070707,94.77531313131313,93.50632323232323,93.70040404040404,92.73,93.60336363636364,94.65587878787879,0.32432823873994693
3,95.79050505050506,302556.0,0.0766738713716958,BRU2,94.97142134611917,95.16347474747475,95.7009292929293,94.65587878787879,94.89474747474748,93.70040404040404,94.77531313131313,95.61135353535354,0.39382714704134864
4,97.20878787878789,30797.0,0.0766738713716958,BRU2,95.86717892187676,96.2159898989899,97.0669595959596,95.61135353535354,95.79050505050506,94.89474747474748,95.7009292929293,96.92513131313132,0.2955682081322571
5,97.5820202020202,27749.0,0.0766738713716958,BRU2,97.28546175015958,97.32075757575758,97.54469696969697,96.92513131313132,97.20878787878789,95.79050505050506,97.0669595959596,97.42867245927681,0.6100698865757825
6,98.47777777777779,52111.0,0.0766738713716958,BRU2,97.6586940733919,97.85074747474748,98.38820202020203,97.42867245927681,97.5820202020202,97.20878787878789,97.54469696969697,98.29862626262627,0.33980017716023403
7,99.67212121212121,43083.0,0.0766738713716958,BRU2,98.55445164914948,98.83608080808082,99.55268686868686,98.29862626262627,98.47777777777779,97.5820202020202,98.38820202020203,99.43325252525253,0.31628452729637707
8,100.12,0.0,0.0766738713716958,BRU2,99.74879508349291,99.80648484848484,100.07521212121213,99.43325252525253,99.67212121212121,98.47777777777779,99.55268686868686,,0.5364627975091618
0,122.75,0.0,0.08450865307475738,SBER,,,,,,,,98.2,
1,124.05666666666667,5894477.0,0.08450865307475738,SBER,122.83450865307476,123.142,123.926,98.2,122.75,0,,123.79533333333333,0.963548718282569
2,124.43,4839525.5,0.08450865307475738,SBER,124.14117531974144,124.16866666666667,124.39266666666667,123.79533333333333,124.05666666666667,122.75,123.926,124.2609826938505,0.6019882698728625
3,124.99000000000001,7244095.0,0.08450865307475738,SBER,124.51450865307477,124.59800000000001,124.93400000000001,124.2609826938505,124.43,124.05666666666667,124.39266666666667,124.8209826938505,0.438728142633071
4,125.55,6757826.0,0.08450865307475738,SBER,125.07450865307477,125.158,125.494,124.8209826938505,124.99000000000001,124.43,124.93400000000001,,0.4387281426330803
5,125.83,7024616.0,0.08450865307475738,SBER,,,,,125.55,124.99000000000001,125.494,125.66098269385049,
6,126.15666666666667,6437301.0,0.08450865307475738,SBER,125.91450865307476,125.928,126.124,125.66098269385049,125.83,125.55,,125.98764936051715,0.5621207441495755
7,127.37,0.0,0.08450865307475738,SBER,126.24117531974143,126.52066666666667,127.24866666666667,125.98764936051715,126.15666666666667,125.83,126.124,,0.31186854515720347
0,115.24969696969697,193466.5,0.08647672185687562,NLMK,,,,,,,,92.19975757575759,
1,115.89454545454545,1067169.5,0.08647672185687562,NLMK,115.33617369155384,115.44315151515151,115.8300606060606,92.19975757575759,115.24969696969697,0,,115.7215920108317,0.9813629980900725
